"id_product";"reference";"name";"description";"price";"link_rewrite";"link_rewrite";"id_image"
"82";"2010/90A";"Paire de saucières Georges V; Londres; 1932";"<p>Paire de saucières Georges V; Londres; 1932</p>";"371.900826";"argenterie-et-verrerie";"paire-de-saucieres-georges-v";"82"
"83";"2010/106C";"Crémier en argent Edwardien; Sheffield; circa 1909";"<p>Crémier en argent Edwardien; Sheffield; circa 1909</p>";"123.966942";"argenterie-et-verrerie";"edwardian-silver-cream-jug";"83"
"84";"2016/287A";"Cloche à fromage anglaise Copeland; Victorien; 19è siècle";"<p>Cloche à fromage anglaise Copeland; Victorien; 19è siècle</p>";"136.363636";"porcelaine-et-faience";"cloche-a-fromage-anglaise-copeland";"84"
"88";"2005/94C";"Perroquet en bronze; Angleterre; 19è siècle";"<p>Perroquet en bronze; Angleterre; 19è siècle</p>";"123.966942";"bronzes-de-vienne";"petit-perroquet";"88"
"89";"2010/90C";"Crémier en argent style Georgien; Londres; 1927";"<p>Crémier en argent style Georgien; Londres; 1927</p>";"123.966942";"argenterie-et-verrerie";"cremier-en-argent-georgian-style";"89"
"91";"2009/225E";"Cruche en cristal; 19è siècle";"<p>Cruche en cristal; 19è siècle</p>";"99.173554";"argenterie-et-verrerie";"petite-carafe-en-cristal";"91"
"92";"2016/83C";"Veau en bronze signé; 20è siècle";"<p>Veau en bronze signé; 20è siècle</p>";"206.611570";"sculptures";"petit-veau-endormi-en-bronze";"92"
"93";"2010/117D";"Salière et moutardier en métal argenté";"<p></p>
<p></p>
<p>Fin XIX ème</p>";"268.595041";"argenterie-et-verrerie";"saliere-et-moutardier-en-metal-argente";"93"
"94";"2004/260A";"Paire de gobelets en bronze montés en lampe; 19è siècle";"<p>Paire de gobelets en bronze montés en lampe; 19è siècle</p>";"495.867769";"luminaires";"paire-de-gobelets-en-bronze-montes-en-lampes";"94"
"95";"2007/361A";"Miroir et console; Suède vers 1840";"<p>Miroir et console; Suède vers 1840</p>";"1487.603306";"miroirs-et-trumeaux";"miroir-et-console";"95"
"98";"2015/114A";"Cafetière en argent; poinçon 950; Paris; après 1819 (Tardy p.193)";"<p>Cafetière en argent; poinçon 950; Paris; après 1819 (Tardy p.193)</p>";"330.578512";"argenterie-et-verrerie";"cafetiere-en-argent";"98"
"101";"2013/277J";"Plaque en fonte de fer Henry IV";"<p>Plaque en fonte de fer Henry IV</p>";"206.611570";"divers";"plaque-en-fonte-de-fer-henri-iv";"101"
"102";"2016/04B";"Paire de bougeoirs en bronze doré; Directoire";"<p>Paire de bougeoirs en bronze doré; Directoire</p>";"785.123967";"luminaires";"paire-de-bougeoirs-en-bronze-dore";"102"
"107";"2006/241J";"Lassie";"<p></p>
<p>L. 8 cm ; H. 5 cm</p>
<p></p>";"309.917355";"bronzes-de-vienne";"lassie";"107"
"108";"2007/257B1";"Lassie";"<p></p>
<p>H. 7 cm</p>
<p></p>";"309.917355";"bronzes-de-vienne";"lassie";"108"
"111";"2013/108";"Trumeau ""La cueillette des cerises""; France; circa 1800";"<p>Trumeau ""La cueillette des cerises""; France; circa 1800</p>";"2314.049587";"miroirs-et-trumeaux";"trumeau-la-ceuillette-des-cerises";"111"
"112";"2006/118A";"Assiette en papier maché et nacre";"<p></p>
<p>D. 25 cm</p>
<p>Napoléon III</p>";"185.950413";"divers";"assiette-en-papier-mache-et-nacre";"112"
"113";"2009/270F";"Théière et pot au lait en Wedgwood; Angleterre; circa 1800";"<p>Théière et pot au lait en Wedgwood; Angleterre; circa 1800</p>";"247.933884";"porcelaine-et-faience";"theiere-et-pot-au-lait-en-wedgwood";"113"
"120";"2011/01B";"Chaise de nourrice en acajou";"<p>Chaise de nourrice en acajou</p>";"247.933884";"chaises";"chaise-de-nourrice-en-acajou";"120"
"124";"2009/101E";"Lampe bouillotte style Empire; début 20è siècle";"<p>Lampe bouillotte style Empire; début 20è siècle</p>";"289.256198";"luminaires";"lampe-bouillote-style-empire";"123"
"128";"2011/15C";"Service à café et à thé en métal argenté; Sheffield; 20è siècle";"<p>Service à café et à thé en métal argenté; Sheffield; 20è siècle</p>";"235.537190";"argenterie-et-verrerie";"service-a-cafe-et-a-the-en-sheffield";"127"
"129";"2010/197D";"Bougeoir en vieux Bruxelles";"<p></p>
<p>L: 16cm H: 7cm</p>
<p></p>";"78.512397";"porcelaine-et-faience";"bougeoir-en-vieux-bruxelles";"128"
"130";"2010/199E";"Lévrier en bronze; signé G. Lavroff (1895-1991)";"<p>Lévrier en bronze; signé G. Lavroff (1895-1991)</p>";"289.256198";"sculptures";"levrier-en-bronze";"129"
"131";"2011/62D4";"Petit plat Meissen";"<p></p>
<p>L. 17 cm</p>
<p>XIX ème</p>";"99.173554";"porcelaine-et-faience";"petit-plat-meissen";"130"
"133";"2013/111B";"Encoignure peinte à suspendre; circa 1880";"<p>Encoignure peinte à suspendre; circa 1880</p>";"702.479339";"mobilier";"encoignure-peinte-a-suspendre";"132"
"137";"2014/217B";"Cafetière en argent";"<p></p>
<p>H. 25 cm</p>
<p>Paris fin XVIII ème</p>";"483.471074";"argenterie-et-verrerie";"cafetiere-en-argent";"136"
"140";"2009/303F1";"Pot au lait Suédois; 1855";"<p>Pot au lait Suédois; 1855</p>";"123.966942";"argenterie-et-verrerie";"pot-au-lait-suedois";"139"
"142";"2004/64A";"Estampe  indien apache";"<p>signé R.C Wood</p>
<p>L: 56 cm; H : 68 cm</p>
<p></p>";"235.537190";"tableaux";"gravure-indien-apache";"141"
"143";"2010/193J";"Plat en Imari; 19è siècle";"<p>Plat en Imari; 19è siècle</p>";"78.512397";"porcelaine-et-faience";"plat-en-imari";"142"
"145";"2010/207A";"Grand lustre style Marie Thérèse";"<p>Grand lustre style Marie Thérèse </p>";"289.256198";"luminaires";"grand-lustre-style-marie-therese";"144"
"148";"2010/293J";"Grande assiette en Delft; 18è siècle";"<p>Grande assiette en Delft; 18è siècle</p>";"206.611570";"porcelaine-et-faience";"grande-assiette-en-delft";"147"
"151";"2007/257F";"Plateau en Laiton; pays basque; circa 1800";"<p>Plateau en Laiton; pays basque; circa 1800</p>";"99.173554";"divers";"plateau-en-laiton-pays-basque";"150"
"152";"2010/255B";"Sculpture en bronze ""Sammy""; signé Hermin Keller; Suède; 20è siècle";"<p>Sculpture en bronze ""Sammy""; signé Hermin Keller; Suède; 20è siècle</p>";"1818.181818";"sculptures";"sammy-par-hermin-keller";"151"
"153";"2015/251B";"Nid et oiseau en bronze de Vienne";"<p>Nid et oiseau en bronze de Vienne</p>";"0.000000";"bronzes-de-vienne";"nid-d-oiseau";"152"
"155";"2009/287E";"Boite à thé en argent";"<p></p>
<p>H. 11cm; L. 10cm; P. 7cm</p>
<p>Londres 1904</p>";"454.545455";"argenterie-et-verrerie";"tea-caddy-en-argent";"154"
"163";"2014/88";"Secrétaire en chêne";"<p>Secrétaire en chêne</p>";"702.479339";"mobilier";"secretaire-en-chene";"162"
"164";"2011/14D";"Lustre en cristal; 19è siècle";"<p>Lustre en cristal; 19è siècle</p>";"785.123967";"luminaires";"lustre-en-cristal";"163"
"165";"2008/253A";"Table bureau Louis Philippe";"<p></p>
<p>L. 95 cm; (+ 25 cm rabats) P. 65 cm; H. 75 cm</p>
<p>XIX ème</p>";"1227.272727";"mobilier";"table-bureau-louis-philippe";"164"
