"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"83";"2010/106C";"Crémier en argent Edwardien, Sheffield, circa 1909";"<p>Crémier en argent Edwardien, Sheffield, circa 1909</p>";"argenterie-et-verrerie";"edwardian-silver-cream-jug";"83"
"84";"2016/287A";"Cloche à fromage anglaise Copeland, Victorien, 19è siècle";"<p>Cloche à fromage anglaise Copeland, Victorien, 19è siècle</p>";"porcelaine-et-faience";"cloche-a-fromage-anglaise-copeland";"84"
"88";"2005/94C";"Perroquet en bronze, Angleterre, 19è siècle";"<p>Perroquet en bronze, Angleterre, 19è siècle</p>";"bronzes-de-vienne";"petit-perroquet";"88"
"89";"2010/90C";"Crémier en argent style Georgien, Londres, 1927";"<p>Crémier en argent style Georgien, Londres, 1927</p>";"argenterie-et-verrerie";"cremier-en-argent-georgian-style";"89"
"91";"2009/225E";"Cruche en cristal, 19è siècle";"<p>Cruche en cristal, 19è siècle</p>";"argenterie-et-verrerie";"petite-carafe-en-cristal";"91"
"92";"2016/83C";"Veau en bronze signé, 20è siècle";"<p>Veau en bronze signé, 20è siècle</p>";"sculptures";"petit-veau-endormi-en-bronze";"92"
"93";"2010/117D";"Salière et moutardier en métal argenté";"<p></p>
<p></p>
<p>Fin XIX ème</p>";"argenterie-et-verrerie";"saliere-et-moutardier-en-metal-argente";"93"
"94";"2004/260A";"Paire de gobelets en bronze montés en lampe, 19è siècle";"<p>Paire de gobelets en bronze montés en lampe, 19è siècle</p>";"luminaires";"paire-de-gobelets-en-bronze-montes-en-lampes";"94"
"95";"2007/361A";"Miroir et console, Suède vers 1840";"<p>Miroir et console, Suède vers 1840</p>";"miroirs-et-trumeaux";"miroir-et-console";"95"
"98";"2015/114A";"Cafetière en argent, poinçon 950, Paris, après 1819";"<p>Cafetière en argent, poinçon 950, Paris, après 1819</p>";"argenterie-et-verrerie";"cafetiere-en-argent";"98"
"101";"2013/277J";"Plaque en fonte de fer Henry IV";"<p>Plaque en fonte de fer Henry IV</p>";"divers";"plaque-en-fonte-de-fer-henri-iv";"101"
"102";"2016/04B";"Paire de bougeoirs en bronze doré, Directoire";"<p>Paire de bougeoirs en bronze doré, Directoire</p>";"luminaires";"paire-de-bougeoirs-en-bronze-dore";"102"
"107";"2006/241J";"Lassie";"<p></p>
<p>L. 8 cm , H. 5 cm</p>
<p></p>";"bronzes-de-vienne";"lassie";"107"
"108";"2007/257B1";"Lassie";"<p></p>
<p>H. 7 cm</p>
<p></p>";"bronzes-de-vienne";"lassie";"108"
"111";"2013/108";"Trumeau ""La cueillette des cerises"", France, circa 1800";"<p>Trumeau ""La cueillette des cerises"", France, circa 1800</p>";"miroirs-et-trumeaux";"trumeau-la-ceuillette-des-cerises";"111"
"112";"2006/118A";"Assiette en papier maché et nacre";"<p></p>
<p>D. 25 cm</p>
<p>Napoléon III</p>";"divers";"assiette-en-papier-mache-et-nacre";"112"
"113";"2009/270F";"Theière et pot au lait en Wedgwood";"<p></p><p></p><p>Angleterre 1800</p>";"porcelaine-et-faience";"theiere-et-pot-au-lait-en-wedgwood";"113"
"120";"2011/01B";"Chaise de nourrice en acajou";"<p>Chaise de nourrice en acajou</p>";"chaises";"chaise-de-nourrice-en-acajou";"120"
"124";"2009/101E";"Lampe bouillotte style Empire, début 20è siècle";"<p>Lampe bouillotte style Empire, début 20è siècle</p>";"luminaires";"lampe-bouillote-style-empire";"123"
"128";"2011/15C";"Service à café et à thé en Sheffield, 20è siècle";"<p>Service à café et à thé en Sheffield, 20è siècle</p>";"argenterie-et-verrerie";"service-a-cafe-et-a-the-en-sheffield";"127"
"129";"2010/197D";"Bougeoir en vieux Bruxelles";"<p></p>
<p>L: 16cm H: 7cm</p>
<p></p>";"porcelaine-et-faience";"bougeoir-en-vieux-bruxelles";"128"
"130";"2010/199E";"Lévrier en bronze";"<p></p><p>H: 17 cm L: 17cm</p><p>1895/1991 signé G.Lavroff</p>";"sculptures";"levrier-en-bronze";"129"
